claim_id,claim_text,source_file,source_section,originating_run,original_locations,current_evidence_status,geography,confidence,freshness_or_review_date,material_to_historical_decision,evidence_type,supporting_source_ids,supporting_urls,audit_notes,unresolved_gap_id
HCR-0001,A prior evidence pack represented aggregators as roughly 75% of mobile orders in key UAE/Saudi ordering contexts and owned channels/call centers as roughly 25%.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,STALE_OR_DATE_SENSITIVE,UAE/GCC,low,2026-06-19,yes,legacy vendor/secondary claim,,,The exact public source was not re-opened in this revision; do not reuse as a verified current market share.,GAP-AUD-001
HCR-0002,A prior UAE young-adult study was used to support that timely delivery and order accuracy are primary retention determinants.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,SUPPORTED_ESTIMATE,UAE,medium,2026-06-19,yes,academic/primary study from prior pack,,,Material direction is plausible but narrow sample and prior source should be re-opened before external use.,GAP-AUD-002
HCR-0003,Aggregator commission and platform fees can compress restaurant margins.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,SUPPORTED_ESTIMATE,UAE/GCC/global,medium,2026-06-19,yes,cross-source inference,,,Direction supported by prior evidence; exact UAE commission rates remain vendor/contract dependent.,GAP-AUD-004
HCR-0004,Restaurant operators objected in prior evidence to losing customer data and control through aggregator channels.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,SUPPORTED_ESTIMATE,UAE/GCC/global,medium,2026-06-19,yes,prior evidence pack,,,"Preserve as qualitative support, not a quantified market fact.",
HCR-0005,"Owned-channel orders can integrate with POS, order management, dispatch, tracking, or order-status systems when supported by the relevant vendor stack.",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,VENDOR_CLAIM,UAE-relevant,high,2026-06-19,yes,official vendor pages,REV-WEB-005;REV-WEB-006;REV-WEB-008,https://www.deliverect.com/en-ae/integrations/careem-express; https://www.foodics.com/pricing/; https://www.wix.com/restaurant/website,"Supported as a capability claim, not as universal compatibility.",
HCR-0006,Delivery/POS staging and API/webhook testing can validate technical flows but cannot by itself prove operational readiness.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,COUNCIL_INFERENCE,UAE/GCC/global,medium,2026-06-19,yes,engineering inference,,,Keep as audit interpretation; validate per vendor sandbox and live operating procedure.,
HCR-0007,"On-time delivery, first-attempt success, replacement handling, and peak-period performance were selected as candidate pilot gates.",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,SCENARIO_ASSUMPTION,UAE/GCC,high,2026-06-19,yes,internal operating assumption,,,"Useful gate design, not an externally proven threshold.",
HCR-0008,"Direct-ordering tools can increase first-party data/control but still require logistics, payments, integration, and support choices.",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,COUNCIL_INFERENCE,UAE/GCC/global,high,2026-06-19,yes,cross-source inference,REV-WEB-005;REV-WEB-008,https://www.deliverect.com/en-ae/integrations/careem-express; https://www.wix.com/restaurant/website,Capability pages support pieces of the stack; economics remain unresolved.,
HCR-0009,Aggregator and direct ordering can coexist; exact profitable channel-shift rates for UAE restaurants remain unresolved.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,UNRESOLVED_GAP,UAE/GCC,high,2026-06-19,yes,gap finding,,,No current public source inspected in this revision quantified reliable UAE direct-channel conversion or substitution.,GAP-AUD-001
HCR-0010,"Standardized rapid launch is a vendor-style capability claim, while POS, delivery, menu, payments, and local process setup introduce manual work.",working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,SUPPORTED_ESTIMATE,UAE/GCC/global,medium,2026-06-19,yes,vendor pages plus council inference,REV-WEB-005;REV-WEB-006;REV-WEB-008,https://www.deliverect.com/en-ae/integrations/careem-express; https://www.foodics.com/pricing/; https://www.wix.com/restaurant/website,Do not present rapid launch as universal.,
HCR-0011,The prior record contains a tension between limiting customization for cost control and needing local personalization for restaurants.,working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md,Evidence pack and gap register,2026-06-13-commercial-council-001,2026-06-13-commercial-council-001 | working/cache/evidence-packs/2026-06-13-commercial-council-001-evidence-pack.md | Evidence pack and gap register,COUNCIL_INFERENCE,UAE/GCC,high,2026-06-19,yes,historical-audit interpretation,,,Contradictory pressure preserved rather than resolved away.,
