query_id,agent,query,source_opened,result,notes
QREV-001,Research Librarian,Stripe UAE pricing domestic international currency conversion dispute custom domain,https://stripe.com/ae/pricing,Used,Official page supported payment-cost claims.
QREV-002,Research Librarian,Cloudflare Workers pricing KV D1 Durable Objects paid plan,https://developers.cloudflare.com/workers/platform/pricing/,Used,Official docs supported infrastructure-cost claims.
QREV-003,Research Librarian,OpenAI API pricing GPT-5.5 GPT-5.4,https://openai.com/api/pricing/,Used,Official pricing page supported AI-cost claims.
QREV-004,Research Librarian,Careem Express UAE delivery API SLA pricing,https://www.careem.com/en-AE/express/,Partial,Capabilities found; no public price/SLA/liability schedule.
QREV-005,Research Librarian,Deliverect Careem Express integration POS dispatch tracking,https://www.deliverect.com/en-ae/integrations/careem-express,Used,Vendor integration claims and prerequisites captured.
QREV-006,Research Librarian,Foodics pricing API integration delivery zones UAE,https://www.foodics.com/pricing/,Used,Public pricing and capabilities captured with caveats.
QREV-007,Research Librarian,Sapaad pricing UAE POS API integration,https://www.sapaad.com/pricing,Partial,Contact-for-pricing; no fixed public prices captured.
QREV-008,Research Librarian,Wix restaurant website online ordering commission free POS syncing pricing,https://www.wix.com/restaurant/website; https://www.wix.com/plans,Used,Capability and USD/location-variable price anchors captured.
QREV-009,Research Librarian,GloriaFood pricing restaurant POS monthly location,https://www.gloriafood.com/pricing,Partial,POS price line captured; complete UAE stack not captured.
QREV-010,Evidence Auditor / Fact Checker,UAE direct channel restaurant conversion payback SaaS CAC support churn WhatsApp pricing,Multiple public searches and inspected pages,Gap,No inspectable current public source resolved the seven historical gaps completely.
