claim_id,claim_text,source_file,source_section,originating_run,claim_type,current_evidence_status,geography,confidence,freshness_or_review_date,material_to_historical_decision,evidence_quality,evidence_ids,source_ids,audit_notes,duplicate_locations
HC-0001,"# Evidence Pack: Strongest Commercially Viable Restaurant Direct-Channel Offer ## Executive Evidence Summary ## Claims | ID | Claim | Classification | Geography | Citation/provenance | Limitation | |---|---|---|---|---|---| | E-001 | Aggregators handle roughly 75% of mobile orders in key UAE/Saudi markets; owned channels/call centers handle about 25%. | Vendor claim | UAE/GCC | ER-001 [3,4], sources `f478fdb2-f0da-4a1d-be8b-218d380a2ad5`, `f0e64d6b-9bae-4db1-a00f-6f536d11ac59` | Provider/industry-report scope unclear. | | E-003 | Timely delivery and order accuracy are primary retention determinants in a UAE young-adult study. | Verified fact | UAE | ER-001 [15,21,23], source `ca789d1f-d041-4a5c-bcc2-b392dd3c80b0` | Convenience sample, N=100, ages 18-25. | | E-005 | Aggregator commissions/fees compress margins and operators object to lost customer data/control. | Verified fact | GCC | ER-001 [4,33,39-41], sources `f0e64d6b-9bae-4db1-a00f-6f536d11ac59`, `928134b3-f8ac-49a6-b83f-09a3efa5aaa4` | Contract terms vary; some evidence is older. |",LEG-SRC-0002,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0002,LEG-SRC-0002,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0002,"# Activity Log - 2026-06-13T20:16:20+04:00 - Initialized the first real commercial council run after explicit operator request. - 2026-06-13T20:16:20+04:00 - Loaded council and librarian skill contracts, required references, templates, notebook registry, normalized handoffs, and query policy. - 2026-06-13T20:16:20+04:00 - Confirmed hard limits: 25 conservatively counted chat queries, 0 deep-research runs, 0 new notebook sources, current connected primary profile only. - 2026-06-13T20:16:20+04:00 - Confirmed local evidence-pack and source-extract caches contain no reusable evidence for the requested verdict. - 2026-06-13T20:30:00+04:00 - Spawned five commercial advisors in sealed evidence-request contexts; no advisor queried NotebookLM or saw another advisor's work. - 2026-06-13T20:35:00+04:00 - Preserved the five advisor request sets in `artifacts/STAGE1_ADVISOR_EVIDENCE_REQUESTS.md`. - 2026-06-13T20:40:00+04:00 - Research librarian consolidated fifteen advisor requests into four boundary-specific requests, one per registered notebook.",LEG-SRC-0003,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,NO,internal,LEG-EV-0003,LEG-SRC-0003,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0003,"# Advisor Memo: Business Builder - Acquisition should target observable fit rather than broad restaurant reach. UAE restaurant discovery is heavily digital/social, but efficient provider acquisition depends on contribution-margin discipline, and provider CAC is absent (`E-020`, `GAP-006`). The initial sales motion should therefore be founder-led and qualification-based, using a repeatable demonstration and a narrow fit checklist rather than paid scale or bespoke proposals. - The best available segment direction is QSR/fast casual and neighborhood concepts with plausible repeat-order behavior, while premium/fine dining and exposed mid-market casual concepts appear weaker fits (`E-004`). This is an inference, not a proven acquisition cohort. - Positioning should not promise aggregator replacement. Aggregators retain reach and visibility, while direct channels offer data/control but do not necessarily deliver a better price or experience; coexistence is available, but successful channel-shift rates are unquantified (`E-001`, `E-005`, `E-014`, `E-018`, `E-019`, `GAP-005`).",LEG-SRC-0004,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0004,LEG-SRC-0004,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0004,"# Advisor Memo: Competitor and Alternatives Analyst - Aggregators hold a large claimed share of mobile food-delivery orders and provide reach, while restaurants object to commissions, lost customer data, and reduced experience control (`E-001`, `E-005`). However, direct ordering does not necessarily give customers a better price or experience (`E-018`). - Direct-ordering tools can provide a branded storefront and first-party data/control, but fulfilment and integration choices remain the restaurant's responsibility (`E-014`). - WhatsApp has broad claimed UAE reach and can support anything from manual ordering to API automation; its scaling and operational reliability are unresolved (`E-015`). - QR ordering may reduce manual table-order work, but claimed spend and turnover uplifts are not independently established (`E-016`). - POS-integrated ordering SaaS can consolidate channels, inject orders into POS, and synchronize inventory; implementation burden and fit vary (`E-017`).",LEG-SRC-0005,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0005,LEG-SRC-0005,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0005,"# Advisor Memo: Market Economics Analyst ## Evidence Classification ### Verified Facts - Aggregator commissions and associated fees can compress restaurant margins, and operators object to loss of customer data and experience control. Contract terms vary, so the magnitude cannot be generalized (E-005). - Timely delivery and order accuracy are important retention determinants in the cited UAE study, although its small young-adult convenience sample limits generalization (E-003). - Generic SaaS evidence indicates that low-ARPA/SMB models tend to face higher churn and weaker retention than higher-ARPA models. This is boundary evidence, not proof of UAE restaurant-provider economics (E-024, GAP-006). ### Estimates - No decision-grade estimate of incremental direct-channel conversion, restaurant payback, profitable channel shift, provider CAC, onboarding labor, support load, churn, cost-to-serve, or gross margin is available. No numeric ROI or payback estimate is supportable (`GAP-005`, `GAP-006`).",LEG-SRC-0006,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0006,LEG-SRC-0006,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0006,"# Advisor Memo: Restaurant Operator ## Operational Assessment ### Normal and Peak Control ### Workflow-by-Workflow Burden | Workflow | Normal-period operating model | Peak-period promise risk | Operator position | |---|---|---|---| | **Pickup** | Staff accepts the order, confirms availability and ready time, prepares, checks contents, stages by name/order number, and hands off after verification. | Overpromised ready times, cold staged food, missing modifiers/items, congested pickup area, and orders handed to the wrong customer. | Best core workflow. Restaurant controls the full chain, but the promise must be capacity-aware and acceptance/status ownership must be explicit. | | **Owned delivery** | Restaurant additionally assigns or dispatches a rider, manages addresses and contact failures, monitors pickup, communicates delays, and handles failed delivery or redelivery. | Rider shortage, kitchen/rider timing mismatch, delivery-radius breaches, unreachable customers, and no clear owner for replacement/refund. | Do not include in the base offer. It adds fleet, dispatch, compliance, and exception-management burden beyond ordering. |",LEG-SRC-0007,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0007,LEG-SRC-0007,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0007,"# Advisor Memo: Restaurant Owner ## Would I Buy This? - My restaurant already has meaningful repeat demand and a workable collection or delivery process. - The first release can be piloted without disrupting live operations. - The offer clearly states what restaurant staff must do, what the provider supports, and what happens when ordering or delivery fails. - Commercial terms are transparent and make it easy to compare the recurring cost with the value of owning more repeat-customer interactions. ## Is The Value Obvious? ## What Creates Distrust? - **Outcome claims without a restaurant baseline.** Promises of higher order value, repeat ordering, or migration from aggregators sound promotional until tied to a comparable restaurant and measured incrementally (E-002, E-019, GAP-005). - **""Rapid launch"" language that hides restaurant labor.** Standardized launch is claimed, but menu mapping and integrations can introduce manual setup burden; observed onboarding time and labor are unavailable (E-021).",LEG-SRC-0008,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0008,LEG-SRC-0008,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0008,"# Devil's Advocate Attack - A non-integrated channel can create duplicate entry, reconciliation, stale availability, missed acceptance, inaccurate ready times, and status bypass during peaks; excluding integrations may transfer burden to restaurant staff rather than remove it (E-017 **Vendor claim**; E-021 **Vendor claim**; A-003 **Partially supported assumption**). - Self-service is a required provider boundary but not a validated restaurant behavior. If restaurants do not maintain menus, availability, promotions, users, and status discipline, the developer either intervenes repeatedly or watches the product fail (E-003 **Verified fact, limited sample**; E-014 **Vendor claim**; GAP-006 **Unresolved gap**). - Integration add-ons create version changes, mapping exceptions, webhook failures, vendor coordination, staging/live discrepancies, and incident diagnosis across systems. Technical validation does not validate restaurant operations or economics (E-010 **Verified fact, technical gate only**; E-021 **Vendor claim**).",LEG-SRC-0009,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0009,LEG-SRC-0009,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0009,"# Evidence Auditor Memo ## Executive Audit - Aggregator commissions and associated fees can compress restaurant margins, and some GCC operators object to lost customer data/control. Magnitude and current contract applicability vary (`E-005`). - Timeliness and order accuracy were important retention determinants in one UAE study of 100 respondents aged 18-25. This cannot be generalized to all UAE restaurant customers (`E-003`). - Staging and webhook status flows can technically validate integrations before live delivery. This does not validate restaurant operations, service levels, or economics (`E-010`). - Generic SaaS evidence associates low-ARPA/SMB models with weaker retention. It cannot validate UAE restaurant-provider churn, pricing, or profitability (`E-024`). ## Evidence-Boundary Rules | Boundary | Permitted use | Prohibited silent generalization | |---|---|---| | UAE evidence | Describe the cited UAE sample, provider capability, or vendor claim with its limitation. | Do not generalize a small young-adult study or UAE vendor claim to the full UAE restaurant market. |",LEG-SRC-0010,imported evidence/library entry,2026-06-13-commercial-council-001,INTERNAL_PROJECT_FACT,INTERNAL_PROJECT_FACT,UAE,HIGH,2026-06-18,YES,internal,LEG-EV-0010,LEG-SRC-0010,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
HC-0010,"# Chairman Interim Commercial Verdict ## Decision Summary ## Recommended Testable Offer Structure | Level | Classification | What belongs in it | Boundary and rationale | |---|---|---|---| | **Validation Core** | **Proposed** | Branded direct-ordering storefront; bounded menu/content setup; menu and availability controls; order intake; acceptance and status steps; customer notifications; customer-data access/export; handoff checklist; controlled launch; standard help guidance; explicit responsibility and escalation terms. | Tests whether a standardized owned channel is useful and manageable. Evidence supports the availability of branded/direct capabilities, not adoption, profit, or standalone usefulness (`E-014`, `A-003`, `GAP-005`, `GAP-006`). | | **Pickup-First Test Configuration** | **Proposed** | Configure the Validation Core initially for pickup; require a named shift owner and fallback, capacity-aware ready-time handling, exception drills, and normal-versus-peak measurement. | Pickup removes delivery-partner dependencies and improves failure diagnosis. It is not confirmed as the strongest commercial package or a sellable minimum (`E-003`, `E-009`, `A-003`). |",LEG-SRC-0011,imported evidence/library entry,2026-06-13-commercial-council-001,COUNCIL_INFERENCE,COUNCIL_INFERENCE,UAE,MEDIUM,2026-06-18,YES,internal,LEG-EV-0011,LEG-SRC-0011,Imported from V2 legacy evidence library; exact source support should be rechecked before external use.,
